name|slug|full_name|type|publisher|description|source|popularity|star_count|pull_count|filter_type|certification_status|categories|operating_systems|architectures|logo_url|created_at|updated_at
Windows base OS images|microsoft-windows-base-os-images|Microsoft/microsoft-windows-base-os-images|image|Microsoft|Product family for all Windows base OS container images|publisher|1134293415|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg|2018-11-27T04:52:14.129981Z|2022-04-13T02:28:59.16344Z
Windows Server Core|microsoft-windows-servercore|Microsoft/microsoft-windows-servercore|image|Microsoft|The official Windows Server Core base image for containers|publisher|587010244|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg|2018-11-30T21:33:55.584313Z|2022-04-13T02:28:59.05409Z
Nano Server|microsoft-windows-nanoserver|Microsoft/microsoft-windows-nanoserver|image|Microsoft|The official Nano Server base image for containers|publisher|539146631|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg|2018-11-29T17:26:14.311143Z|2022-04-13T02:28:58.981136Z
.NET Core|microsoft-dotnet-core|Microsoft/microsoft-dotnet-core|image|Microsoft|Official images for .NET Core 3.1 and ASP.NET Core 3.1|publisher|279330629|0|||not_certified|['Application Frameworks', 'Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2019-02-26T21:31:35.25806Z|2022-04-13T02:28:55.315394Z
.NET|microsoft-dotnet|Microsoft/microsoft-dotnet|image|Microsoft|Official images for .NET and ASP.NET Core|publisher|258250089|0|||not_certified|['Application Frameworks', 'Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-05-13T09:21:57.246732Z|2022-04-13T02:28:55.493136Z
.NET Core (Preview)|microsoft-dotnet-core-nightly|Microsoft/microsoft-dotnet-core-nightly|image|Microsoft|Preview images for .NET Core 3.1 and ASP.NET Core 3.1|publisher|207260057|0|||not_certified|['Application Frameworks', 'Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2019-01-30T21:04:25.602594Z|2022-04-13T02:28:55.188558Z
Azure Functions|microsoft-azure-functions|Microsoft/microsoft-azure-functions|image|Microsoft|Official images for Azure Functions|publisher|202331265|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2020-06-04T20:37:20.935966Z|2022-04-13T02:28:52.976504Z
.NET Framework|microsoft-dotnet-framework|Microsoft/microsoft-dotnet-framework|image|Microsoft|Official images for the .NET Framework, ASP.NET, and Windows Communication Framework (WCF)|publisher|166458767|0|||certified|['Application Frameworks', 'Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2019-03-19T19:27:37.769595Z|2022-04-13T02:28:55.707604Z
ASP.NET|microsoft-dotnet-framework-aspnet|Microsoft/microsoft-dotnet-framework-aspnet|image|Microsoft|Official images for ASP.NET|publisher|150871789|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2018-12-06T17:43:35.995103Z|2022-04-13T02:28:55.547351Z
Azure Functions Python|microsoft-azure-functions-python|Microsoft/microsoft-azure-functions-python|image|Microsoft|Azure Functions python image|publisher|143466931|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-06T17:46:43.968132Z|2022-04-13T02:28:52.864497Z
